Observation_id,Phase,Behaviour,Behavioural_category,Modifier,Point_Event_Count
Ballantine_PRF_17112022_0947,Habituation,Look,Reaction,Away from speaker,14
Ballantine_PRF_17112022_0947,Habituation,Voc,Reaction,Contact,31
Ballantine_PRF_17112022_0947,Silence_1,FVO,Reaction,Distance,1
Ballantine_PRF_17112022_0947,Silence_1,FVO,Reaction,Other,2
Ballantine_PRF_17112022_0947,Silence_1,HSH,Reaction,None,4
Ballantine_PRF_17112022_0947,Silence_1,Look,Reaction,At speaker,3
Ballantine_PRF_17112022_0947,Silence_1,Look,Reaction,Away from speaker,11
Ballantine_PRF_17112022_0947,Silence_2,FVO,Reaction,Distance,5
Ballantine_PRF_17112022_0947,Silence_2,Look,Reaction,At speaker,7
Ballantine_PRF_17112022_0947,Silence_2,Voc,Reaction,Contact,3
Ballantine_PRF_17112022_0947,Silence_3,FVO,Reaction,Distance,11
Ballantine_PRF_17112022_0947,Silence_3,FVO,Reaction,Other,3
Ballantine_PRF_17112022_0947,Silence_3,FVO,Reaction,Recruitment,2
Barbados_FC_09102022_1000,Dishabituation,FVO,Reaction,Distance,13
Barbados_FC_09102022_1000,Dishabituation,FVO,Reaction,Other,5
Barbados_FC_09102022_1000,Habituation,FVO,Reaction,Distance,10
Barbados_FC_09102022_1000,Habituation,Look,Reaction,At speaker,1
Barbados_FC_09102022_1000,Silence_1,FVO,Reaction,Distance,1
Barbados_FC_09102022_1000,Silence_1,Look,Reaction,At speaker,2
Barbados_FC_09102022_1000,Silence_1,Look,Reaction,Away from speaker,2
Barbados_FC_09102022_1000,Silence_2,FVO,Reaction,Distance,3
Barbados_FC_09102022_1000,Silence_2,FVO,Reaction,Other,1
Barbados_FC_09102022_1000,Silence_3,NA,NA,NA,0
Barbados_FRP_10102022_1741,Dishabituation,FVO,Reaction,Distance,11
Barbados_FRP_10102022_1741,Dishabituation,HSH,Reaction,None,1
Barbados_FRP_10102022_1741,Dishabituation,Htlt,Reaction,None,1
Barbados_FRP_10102022_1741,Dishabituation,Look,Reaction,At speaker,18
